NIVEL_ADMINISTRATIVO,GEO_COD,GEO_COD_DSG,POP_RESIDENTE_M,POP_RESIDENTE_F,POP_PRESENTE_M,POP_PRESENTE_F,POP_ATIVA_M,POP_ATIVA_F,POP_EMPREGADA_M,POP_EMPREGADA_F,POP_DESEMPREGADA_M,POP_DESEMPREGADA_F,TAXA_DESEMPREGO_M,TAXA_DESEMPREGO_F,POP_EMPREGADA_SET_PRIMARIO,POP_EMPREGADA_SET_SECUNDARIO,POP_EMPREGADA_SET_TERCIARIO,POP_DESEMPREGADA_PROC_1_EMP_M,POP_DESEMPREGADA_PROC_1_EMP_F,POP_DESEMPREGADA_PROC_NOVO_EMP_M,POP_DESEMPREGADA_PROC_NOVO_EMP_F,DENSIDADE_TOTAL,DENSIDADE_TOTAL_M,DENSIDADE_TOTAL_F,IDADE_MEDIA,M_0_14,M_15_24,M_25_64,M_65_74,M_75,F_0_14,F_15_24,F_25_64,F_65_74,F_75,COD_DISTRITO_INE,COD_CONCELHO_INE,COD_FREGUESIA_INE
6,70507,Évora (São Mamede),695,1029,714,1051,337,391,291,347,46,44,13.65,11.253,18,77,543,3,10,43,34,7420.8999999999996,2991.5999999999999,4429.3000000000002,49.850000000000001,62,67,377,85,104,76,98,476,152,227,8,110,1681
6,70607,Ciborro,354,360,347,355,178,135,172,120,6,15,3.371,11.111000000000001,50,111,131,1,0,5,15,12.9,6.4000000000000004,6.5,51.979999999999997,27,28,175,47,77,34,26,157,67,76,8,111,1698
6,70801,Granja,304,301,304,303,130,84,104,60,26,24,20,28.571000000000002,32,32,100,3,3,23,21,6.5,3.2999999999999998,3.2999999999999998,48.729999999999997,35,33,148,40,48,34,30,127,55,55,8,113,1711
6,70802,Luz,153,137,152,137,84,61,71,48,13,13,15.475999999999999,21.311,20,30,69,5,1,8,12,5.7000000000000002,3,2.7000000000000002,47.460000000000001,14,24,79,13,23,13,10,67,14,33,8,113,1712
6,121502,Casa Branca,574,658,552,633,275,237,238,198,37,39,13.455,16.456,112,87,237,5,3,32,36,12.199999999999999,5.7000000000000002,6.5,48.32,86,56,279,71,82,50,64,304,106,134,14,206,2670
6,20101,Aljustrel,2540,2597,2435,2509,1247,1085,1120,912,127,173,10.183999999999999,15.945,103,618,1311,22,33,105,140,26.800000000000001,13.300000000000001,13.6,43.909999999999997,337,287,1481,247,188,328,235,1397,311,326,3,39,365
6,20104,São João de Negrilhos,736,746,698,716,353,248,298,191,55,57,15.581,22.984000000000002,93,144,252,4,7,51,50,19.199999999999999,9.5999999999999996,9.6999999999999993,48.490000000000002,75,71,400,103,87,71,73,346,114,142,3,39,369
6,20105,Rio de Moinhos,378,363,346,341,193,106,176,80,17,26,8.8079999999999998,24.527999999999999,24,122,110,2,2,15,24,19.800000000000001,10.1,9.6999999999999993,46.859999999999999,42,39,217,36,44,42,32,177,55,57,3,39,368
6,20504,Cabeça Gorda,691,695,659,671,335,250,286,204,49,46,14.627000000000001,18.399999999999999,72,72,346,10,6,39,40,17.699999999999999,8.8000000000000007,8.9000000000000004,45.07,95,72,382,75,67,89,56,342,106,102,3,43,388
6,20507,Quintos,126,129,124,128,63,39,54,33,9,6,14.286,15.385,20,18,49,0,1,9,5,1.8,0.90000000000000002,0.90000000000000002,50.159999999999997,12,11,69,14,20,15,9,55,19,31,3,43,391
